 ---------------------------------------------------------------
Surface and Strip forces by surface

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     main_wing_1                             
     # chordwise = 10   # spanwise =100     First strip =  1
     Surface area =  17.880           ave. chord =  2.7158    
     CLsurf  =   0.097731     Clsurf  =  -0.011063
     CYsurf  =  -0.000120     Cmsurf  =  -0.055889
     CDsurf  =   0.002949     Cnsurf  =  -0.000287
     CDisurf =   0.000881     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.357538     cd_surf =   0.010788

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
   106   12.59     -0.4966E-01   1.385       2.797      0.5039E-01   0.000      0.8007      0.1620E-01  0.2865       0.000      0.3284E-02   0.000     -0.3479E-02  0.2621       0.000    
   107   12.59     -0.6930E-01   1.385       2.797      0.5943E-01   0.000      0.8008      0.1614E-01  0.2865       0.000      0.3280E-02   0.000     -0.3470E-02  0.2621       0.000    
   108   12.59     -0.9215E-01   1.385       2.797      0.6842E-01   0.000      0.8008      0.1609E-01  0.2865       0.000      0.3273E-02   0.000     -0.3457E-02  0.2621       0.000    
   109   12.59     -0.1182       1.385       2.797      0.7734E-01   0.000      0.8010      0.1606E-01  0.2866       0.000      0.3264E-02   0.000     -0.3437E-02  0.2620       0.000    
   110   12.59     -0.1474       1.385       2.797      0.8618E-01   0.000      0.8011      0.1602E-01  0.2866       0.000      0.3250E-02   0.000     -0.3409E-02  0.2619       0.000    
   111   12.59     -0.1798       1.385       2.797      0.9493E-01   0.000      0.8013      0.1599E-01  0.2867       0.000      0.3231E-02   0.000     -0.3370E-02  0.2618       0.000    
   112   12.59     -0.2153       1.385       2.797      0.1036       0.000      0.8017      0.1596E-01  0.2868       0.000      0.3206E-02   0.000     -0.3319E-02  0.2616       0.000    
   113   12.59     -0.2539       1.385       2.797      0.1122       0.000      0.8020      0.1592E-01  0.2869       0.000      0.3173E-02   0.000     -0.3254E-02  0.2613       0.000    
   114   12.59     -0.2955       1.385       2.797      0.1206       0.000      0.8025      0.1588E-01  0.2871       0.000      0.3132E-02   0.000     -0.3171E-02  0.2610       0.000    
   115   12.59     -0.3401       1.385       2.797      0.1289      0.2760E-12  0.8032      0.1582E-01  0.2874       0.000      0.3079E-02   0.000     -0.3069E-02  0.2607       0.000    
